Customer_ID,Age,Gender,Region,Policy_Type,Policy_Duration_Years,Annual_Premium,Vehicle_Age,Incident_Type,Claim_Amount,Number_of_Previous_Claims,Claim_Approved
CUST00001,56,Male,South,Basic,14,34076,4,Accident,25279,4,1
CUST00002,69,Female,North,Premium,4,9587,1,Accident,12837,0,0
CUST00003,46,Female,North,Gold,13,38124,6,Theft,25209,4,0
CUST00004,32,Male,East,Premium,11,20787,10,Accident,13220,3,0
CUST00005,60,Male,South,Gold,12,25448,10,Accident,4965,2,1
CUST00006,25,Female,West,Basic,3,10499,6,Natural Disaster,43276,0,1
CUST00007,38,Female,North,Basic,13,8841,14,Natural Disaster,28230,4,0
CUST00008,56,Female,East,Basic,13,49890,11,Natural Disaster,42920,4,0
CUST00009,36,Female,South,Premium,8,30402,12,Natural Disaster,66165,3,0
CUST00010,40,Female,North,Gold,2,28055,7,Accident,62544,3,0
CUST00011,28,Female,South,Gold,9,44827,7,Theft,24036,3,1
CUST00012,28,Female,South,Basic,13,5665,4,Accident,66322,2,1
CUST00013,41,Male,North,Basic,8,37271,14,Fire,5847,1,0
CUST00014,53,Female,North,Gold,8,28237,0,Theft,51772,4,1
CUST00015,57,Female,North,Premium,13,47988,12,Fire,13893,2,0
CUST00016,41,Male,South,Basic,3,33267,10,Accident,5649,4,0
CUST00017,20,Female,South,Basic,13,15774,12,Theft,31571,2,1
CUST00018,39,Female,East,Premium,4,5553,3,Theft,12613,0,1
CUST00019,19,Male,West,Premium,2,18860,3,Natural Disaster,54833,1,0
CUST00020,41,Female,South,Basic,2,29903,14,Accident,63423,4,1
CUST00021,61,Male,West,Basic,4,12045,10,Fire,42382,3,1
CUST00022,47,Male,North,Gold,6,14380,2,Theft,53348,1,0
CUST00023,55,Male,South,Premium,5,37917,7,Theft,54705,4,0
CUST00024,19,Male,East,Basic,1,37261,2,Natural Disaster,76642,0,0
CUST00025,38,Female,East,Basic,13,18343,12,Theft,78813,4,0
CUST00026,50,Male,West,Premium,10,7853,4,Natural Disaster,56817,4,1
CUST00027,29,Male,North,Basic,1,15128,1,Theft,79669,4,0
CUST00028,39,Female,West,Basic,6,7736,5,Theft,45142,1,0
CUST00029,61,Male,North,Premium,3,38724,14,Accident,71182,4,0
CUST00030,42,Male,East,Basic,3,16440,5,Theft,14708,3,1
